#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                 accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----       -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
AEH59100.1           -           8536 aa-activating-core.198-334 -            166         0 1023.1  46.0   1   7   6.5e-40   2.9e-38  123.8   1.5     1   166   678   817   678   817 0.93 amino acid adenylation domain-containing protein/NRPS
AEH59100.1           -           8536 aa-activating-core.198-334 -            166         0 1023.1  46.0   2   7   1.6e-50   7.3e-49  158.6   2.1     1   165  1734  1877  1734  1878 0.96 amino acid adenylation domain-containing protein/NRPS
AEH59100.1           -           8536 aa-activating-core.198-334 -            166         0 1023.1  46.0   3   7   1.3e-50   6.1e-49  158.9   1.4     1   165  2814  2954  2814  2955 0.95 amino acid adenylation domain-containing protein/NRPS
AEH59100.1           -           8536 aa-activating-core.198-334 -            166         0 1023.1  46.0   4   7     7e-57   3.2e-55  179.5   0.9     1   166  4332  4478  4332  4478 0.95 amino acid adenylation domain-containing protein/NRPS
AEH59100.1           -           8536 aa-activating-core.198-334 -            166         0 1023.1  46.0   5   7   2.4e-47   1.1e-45  148.2   0.4     1   165  5397  5535  5397  5536 0.95 amino acid adenylation domain-containing protein/NRPS
AEH59100.1           -           8536 aa-activating-core.198-334 -            166         0 1023.1  46.0   6   7   5.8e-28   2.6e-26   84.5   0.8     1   164  6461  6602  6461  6604 0.88 amino acid adenylation domain-containing protein/NRPS
AEH59100.1           -           8536 aa-activating-core.198-334 -            166         0 1023.1  46.0   7   7   1.9e-62   8.8e-61  197.8   0.1     1   166  7529  7672  7529  7672 0.96 amino acid adenylation domain-containing protein/NRPS
AEH59099.1           -           3829 aa-activating-core.198-334 -            166  1.3e-155  509.5  28.9   1   4   1.1e-42   4.8e-41  132.9   0.6     1   166   187   323   187   323 0.94 amino acid adenylation domain-containing protein/NRPS
AEH59099.1           -           3829 aa-activating-core.198-334 -            166  1.3e-155  509.5  28.9   2   4   8.3e-37   3.8e-35  113.5   1.4     1   166  1262  1406  1262  1406 0.95 amino acid adenylation domain-containing protein/NRPS
AEH59099.1           -           3829 aa-activating-core.198-334 -            166  1.3e-155  509.5  28.9   3   4   6.6e-51     3e-49  159.9   2.7     1   166  2328  2465  2328  2465 0.98 amino acid adenylation domain-containing protein/NRPS
AEH59099.1           -           3829 aa-activating-core.198-334 -            166  1.3e-155  509.5  28.9   4   4   1.9e-38   8.6e-37  118.9   0.8     1   166  3388  3527  3388  3527 0.94 amino acid adenylation domain-containing protein/NRPS
AEH59100.1           -           8536 aroundLys517         -             50  4.7e-168  543.5  80.1   1   7   8.2e-28   3.8e-26   83.5   4.8     2    48   967  1011   966  1013 0.95 amino acid adenylation domain-containing protein/NRPS
AEH59100.1           -           8536 aroundLys517         -             50  4.7e-168  543.5  80.1   2   7   1.3e-26   5.9e-25   79.6   5.8     2    50  2028  2074  2027  2074 0.97 amino acid adenylation domain-containing protein/NRPS
AEH59100.1           -           8536 aroundLys517         -             50  4.7e-168  543.5  80.1   3   7   2.4e-28   1.1e-26   85.2   2.2     1    48  3107  3152  3107  3154 0.95 amino acid adenylation domain-containing protein/NRPS
AEH59100.1           -           8536 aroundLys517         -             50  4.7e-168  543.5  80.1   4   7   2.5e-27   1.1e-25   81.9   4.3     1    49  4628  4674  4628  4675 0.95 amino acid adenylation domain-containing protein/NRPS
